provider,key,tmsid,time_shift,notes
freelivesports,6721235c3d39e9e0c717997d,124806,,ACC Digital Network
freelivesports,66f5a9a408f2c39175aab916,142414,,Action Plus
freelivesports,6721226853bb4ab784918230,163942,,Big 12 Network
freelivesports,690bd93eb99006859752b2ac,200290,,Bowling TV
freelivesports,698298987b62c73309c5256b,167590,,Cirque du Soleil
freelivesports,6675b85a7620a64769e3a926,125196,,Cornhole TV
freelivesports,675c767406563ac6560ae104,132889,,SPEEDVISION
freelivesports,6675b7bda139017a32428e74,119117,,SportsGrid
freelivesports,6675bc4b1de4405de4d48637,113991,,Stadium
freelivesports,6675be6a0485604f67e34186,150219,,Strongman Champions League
freelivesports,66631a6b68357e70058f62ca,152976,,Surf Cinema
freelivesports,66fc2e0b6278931878517b89,122436,,Swerve Combat
freelivesports,695d764ad33a113e45a09c0c,121424,,Waypoint TV
freelivesports,66fafe92ae9285e6ac7449d7,164602,,Willow Sports
lg-channels,50centaction_action_US,178243,,50 Cent Action
lg-channels,us-amc_anime_x_hidive_1,132816,,ANIME x HIDIVE
lg-channels,FREQ888,112881,,Alien Nation by DUST
lg-channels,us-amc_allblk_gems_1,124177,,AllBlk Gems
lg-channels,amg01420c1eng_amg01420c1eng_US,115365,,America's Test Kitchen
lg-channels,Stingray232ADS,191509,,Stingray 2000s
localnow,00DE3395-C989-4527-9A3F-31C2B76DF232,154547,,Conflict
localnow,11F7EC73-20B1-4BF8-BDB1-FAA2B48AC5DF,152977,,Popular Science
plex,5e20b730f2f8d5003d739db7-66f6b947515e742745f5ca34,165784,,21 Jump Street
plex,5e20b730f2f8d5003d739db7-6745dca72832b870acf53220,169857,,365BLK [FAST]
plex,5e20b730f2f8d5003d739db7-64149a3c238e21f260e7844c,126373,,4UV
plex,5e20b730f2f8d5003d739db7-6827b9579beea89c38b6df55,178243,,50 Cent Action
plex,5e20b730f2f8d5003d739db7-6674b595f04cf4bb9233c914,163839,,A Touch of Frost
plex,5e20b730f2f8d5003d739db7-5f74cf7effbe690040689f41,113780,,A&E Crime 360
plex,5e20b730f2f8d5003d739db7-5f8ee3727c75fa002d9e47c1,124806,,ACCDN
